"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 18 06:33:55 GMT 2022","Mon Jul 18 06:33:57 GMT 2022","1769","tests","test_lambda_steps","","","","test_decorator_steps",""
"passed","Mon Jul 18 06:33:55 GMT 2022","Mon Jul 18 06:33:55 GMT 2022","0","tests","test_labels","","","","test_dynamic_label",""
"broken","Mon Jul 18 06:33:57 GMT 2022","Mon Jul 18 06:33:57 GMT 2022","737","tests","test_selene","","","","test_github",""
"broken","Mon Jul 18 06:33:58 GMT 2022","Mon Jul 18 06:33:58 GMT 2022","727","tests","test_selene","","","","test_github_new",""
"broken","Mon Jul 18 06:33:58 GMT 2022","Mon Jul 18 06:33:59 GMT 2022","737","tests","test_steps","","","","test_github",""
"passed","Mon Jul 18 06:33:55 GMT 2022","Mon Jul 18 06:33:55 GMT 2022","0","tests","test_attachments","","","","test_attachments",""
"passed","Mon Jul 18 06:33:55 GMT 2022","Mon Jul 18 06:33:55 GMT 2022","0","tests","test_labels","","","","test_decorator_labels",""
