"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 18 06:14:53 GMT 2022","Mon Jul 18 06:14:54 GMT 2022","749","tests","test_selene","","","","test_github",""
"passed","Mon Jul 18 06:14:47 GMT 2022","Mon Jul 18 06:14:47 GMT 2022","0","tests","test_attachments","","","","test_attachments",""
"broken","Mon Jul 18 06:14:54 GMT 2022","Mon Jul 18 06:14:54 GMT 2022","723","tests","test_steps","","","","test_github",""
"broken","Mon Jul 18 06:14:47 GMT 2022","Mon Jul 18 06:14:53 GMT 2022","5253","tests","test_lambda_steps","","","","test_decorator_steps",""
"passed","Mon Jul 18 06:14:47 GMT 2022","Mon Jul 18 06:14:47 GMT 2022","0","tests","test_labels","","","","test_decorator_labels",""
"passed","Mon Jul 18 06:14:47 GMT 2022","Mon Jul 18 06:14:47 GMT 2022","0","tests","test_labels","","","","test_dynamic_label",""
