"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 18 06:08:27 GMT 2022","Mon Jul 18 06:08:27 GMT 2022","1","tests","test_attachments","","","","test_attachments",""
"broken","Mon Jul 18 06:08:29 GMT 2022","Mon Jul 18 06:08:30 GMT 2022","689","tests","test_selene","","","","test_github",""
"broken","Mon Jul 18 06:08:30 GMT 2022","Mon Jul 18 06:08:30 GMT 2022","673","tests","test_steps","","","","test_github",""
"broken","Mon Jul 18 06:08:27 GMT 2022","Mon Jul 18 06:08:29 GMT 2022","1589","tests","test_lambda_steps","","","","test_decorator_steps",""
"passed","Mon Jul 18 06:08:27 GMT 2022","Mon Jul 18 06:08:27 GMT 2022","0","tests","test_labels","","","","test_dynamic_label",""
"passed","Mon Jul 18 06:08:27 GMT 2022","Mon Jul 18 06:08:27 GMT 2022","1","tests","test_labels","","","","test_decorator_labels",""
